Match ID,Group,Team A,Team B,Date,Time,Status,Score A,Score B,Live Link,Highlights Link,Replay Link
1,Grupo J,Argentina,Áustria,22/06/2026,19:00,Finalizado,2,0,,https://www.youtube.com/@CazeTV/search?query=Argentina+%C3%81ustria+melhores+momentos,https://www.youtube.com/watch?v=2HV5a1o5YdQ
2,Grupo I,França,Iraque,22/06/2026,16:00,Finalizado,3,0,,https://www.youtube.com/@CazeTV/search?query=Fran%C3%A7a+Iraque+melhores+momentos,https://www.youtube.com/watch?v=XT44o1KA7mw
3,Grupo I,Noruega,Senegal,22/06/2026,13:00,Finalizado,3,2,,https://www.youtube.com/@CazeTV/search?query=Noruega+Senegal+melhores+momentos,https://www.youtube.com/watch?v=9bcHM2QgGA4
4,Grupo J,Argélia,Jordânia,22/06/2026,16:00,Finalizado,2,1,,https://www.youtube.com/watch?v=nkkfN-kx9_o,https://www.youtube.com/watch?v=rXT9fvHMslg
5,Grupo K,Portugal,Uzbequistão,23/06/2026,13:00,Finalizado,5,0,,https://www.youtube.com/watch?v=aJva_fZEpRc,https://www.youtube.com/watch?v=yTDgd1SdZJU
6,Grupo L,Inglaterra,Gana,23/06/2026,17:00,Finalizado,,,,https://www.youtube.com/@CazeTV/search?query=Inglaterra+Gana+melhores+momentos,https://www.youtube.com/watch?v=ZThEBtVRnec
7,Grupo L,Panamá,Croácia,23/06/2026,20:00,Finalizado,0,0,,https://www.youtube.com/@CazeTV/search?query=Panam%C3%A1+Cro%C3%A1cia+melhores+momentos,https://www.youtube.com/watch?v=bh8YVux5Pkg
8,Grupo K,Colômbia,RD Congo,23/06/2026,23:00,Finalizado,1,0,,https://www.youtube.com/watch?v=N0EP6mSFErY,https://www.youtube.com/watch?v=CnEFPgTbIB0
9,Grupo B,Suíça,Canadá,24/06/2026,22:00,Agendado,,,,,
10,Grupo B,Bósnia e Herzegovina,Catar,24/06/2026,19:00,Agendado,,,,,
11,Grupo C,Brasil,Escócia,24/06/2026,22:00,Agendado,,,,,
12,Grupo C,Marrocos,Haiti,24/06/2026,19:00,Agendado,,,,,
13,Grupo A,Chéquia,México,24/06/2026,22:00,Agendado,,,,,
14,Grupo A,África do Sul,Coreia do Sul,24/06/2026,19:00,Agendado,,,,,
15,Grupo E,Curaçao,Costa do Marfim,25/06/2026,16:00,Agendado,,,,,
16,Grupo E,Equador,Alemanha,25/06/2026,16:00,Agendado,,,,,
17,Grupo F,Japão,Suécia,25/06/2026,19:00,Agendado,,,,,
18,Grupo F,Tunísia,Holanda,25/06/2026,19:00,Agendado,,,,,
19,Grupo D,Turquia,Estados Unidos,25/06/2026,22:00,Agendado,,,,,
20,Grupo D,Paraguai,Austrália,25/06/2026,22:00,Agendado,,,,,
